prime_genre,track_name,price
Book,銀魂 公式連載アプリ〜銀魂の漫画が毎週１巻読めるアプリ〜,27.99
Business,애드픽 - 인플루언서가 되어 의미있는 수익을 올리세요!,59.99
Catalogs,女の子のための女子トレンドまとめアプリ-ウーマガジン-,7.99
Education,驾校一点通-保过版，2017最新驾考学车宝典,299.99
Entertainment,龙珠直播-高清游戏娱乐直播平台,9.99
Finance,黄金日-贵金属理财投资黄金白银,5.99
Food & Drink,香哈菜谱-最专业的家常菜谱大全 无广告版,27.99
Games,ｗｗｗ,29.99
Health & Fitness,闪瘦-健康减肥瘦身,9.99
Lifestyle,驾考宝典-2017最新考驾照驾校学车驾考通,4.99
Medical,平安好医生-要健康上平安好医生,34.99
Music,radio.de - Der Radioplayer,49.99
Navigation,高德地图（精准专业的手机地图）,74.99
News,２ちゃんねる for iPhone,3.99
Photo & Video,誰にもバレない！[秘密のアルバム]　無料で写真をロック！,22.99
Productivity,腾讯微云HD-安全备份共享文件和照片,99.99
Reference,花しらべ 花認識/花検索,47.99
Shopping,零钱夺宝pro-新手99元红包助你1元购,1.99
Social Networking,非诚勿扰-中国最大免费婚恋交友平台,9.99
Sports,豪快ショット連発！爽快卓球ゲーム「サァァァ！」,19.99
Travel,驴妈妈旅游-订景点门票机票火车票特价酒店,9.99
Utilities,高清影视-大片免费天天看,24.99
Weather,실시간 날씨,9.99
